"",".id","Year","Age","Sex","Deaths","Exposures"
"146",2,2012,48,"Male",1059,356160
"147",3,2012,48,"Total",1609,707418
"148",1,2012,49,"Female",539,340701
"149",2,2012,49,"Male",1101,342834
"150",3,2012,49,"Total",1640,683535
"151",1,2012,50,"Female",542,333327
"152",2,2012,50,"Male",1081,333033
"153",3,2012,50,"Total",1623,666360
"154",1,2012,51,"Female",614,335077
"155",2,2012,51,"Male",1290,334224
"156",3,2012,51,"Total",1904,669301
"157",1,2012,52,"Female",633,326127
"158",2,2012,52,"Male",1414,323975
"159",3,2012,52,"Total",2047,650102
"160",1,2012,53,"Female",719,319081
"161",2,2012,53,"Male",1507,315570
"162",3,2012,53,"Total",2226,634651
"163",1,2012,54,"Female",729,311660
"164",2,2012,54,"Male",1560,306213
"165",3,2012,54,"Total",2289,617873
"166",1,2012,55,"Female",697,290780
"167",2,2012,55,"Male",1618,284826
"168",3,2012,55,"Total",2315,575606
"169",1,2012,56,"Female",774,282280
"170",2,2012,56,"Male",1662,275336
"171",3,2012,56,"Total",2436,557616
"172",1,2012,57,"Female",796,270265
"173",2,2012,57,"Male",1856,260514
"174",3,2012,57,"Total",2652,530779
"175",1,2012,58,"Female",804,269275
"176",2,2012,58,"Male",1905,260838
"177",3,2012,58,"Total",2709,530113
"178",1,2012,59,"Female",874,267391
"179",2,2012,59,"Male",2055,259319
"180",3,2012,59,"Total",2929,526710
"181",1,2012,60,"Female",921,251389
"182",2,2012,60,"Male",2143,240734
"183",3,2012,60,"Total",3064,492123
"184",1,2012,61,"Female",957,246068
"185",2,2012,61,"Male",2273,234401
"186",3,2012,61,"Total",3230,480469
"187",1,2012,62,"Female",1046,257367
"188",2,2012,62,"Male",2385,241257
"189",3,2012,62,"Total",3431,498624
"190",1,2012,63,"Female",1138,268986
"191",2,2012,63,"Male",2689,251852
"192",3,2012,63,"Total",3827,520838
"193",1,2012,64,"Female",1184,246288
"194",2,2012,64,"Male",2916,228902
"195",3,2012,64,"Total",4100,475190
"196",1,2012,65,"Female",1118,236490
"197",2,2012,65,"Male",2784,216753
"198",3,2012,65,"Total",3902,453243
"199",1,2012,66,"Female",1325,247342
"200",2,2012,66,"Male",3077,225368
"201",3,2012,66,"Total",4402,472710
"202",1,2012,67,"Female",1518,235436
"203",2,2012,67,"Male",3197,213145
"204",3,2012,67,"Total",4715,448581
"205",1,2012,68,"Female",1547,231554
"206",2,2012,68,"Male",3533,208333
"207",3,2012,68,"Total",5080,439887
"208",1,2012,69,"Female",1591,199424
"209",2,2012,69,"Male",3540,178614
"210",3,2012,69,"Total",5131,378038
"211",1,2012,70,"Female",1491,183575
"212",2,2012,70,"Male",3210,162813
