.id,Year,Sex,q0,e0,q45_60
AUS,1955,f,0.01936,73.25,0.10001480995492107
AUS,1955,m,0.02477,67.34,0.1706252548485635
AUS,1956,b,0.0218,70.04,0.13757643709358036
AUS,1956,f,0.01972,73.05,0.10096702527974544
AUS,1956,m,0.02376,67.29,0.17282721871014184
AUS,1957,b,0.0218,70.32,0.13453905426396173
AUS,1957,f,0.01926,73.46,0.09750119719491701
AUS,1957,m,0.02419,67.45,0.16960875329865577
AUS,1958,b,0.02058,70.86,0.13346063316493628
AUS,1958,f,0.01827,74.02,0.09709447393213022
AUS,1958,m,0.02277,67.96,0.16781791124581902
AUS,1959,b,0.02158,70.45,0.13630780280553156
AUS,1959,f,0.01899,73.74,0.09745076285615362
AUS,1959,m,0.02405,67.44,0.1727857574651417
AUS,1960,b,0.02009,70.87,0.13535360242226135
AUS,1960,f,0.01771,74.05,0.0970325855487939
AUS,1960,m,0.02234,67.95,0.17095896270897826
AUS,1961,b,0.01983,71.13,0.1313337912466228
AUS,1961,f,0.01737,74.52,0.0912277203754589
AUS,1961,m,0.02215,68.04,0.168362834470708
AUS,1962,b,0.02027,70.91,0.1344600989291107
AUS,1962,f,0.01764,74.29,0.09326149547983187
AUS,1962,m,0.02275,67.82,0.17232948606059673
AUS,1963,b,0.01952,70.96,0.1350234725130166
AUS,1963,f,0.01719,74.3,0.09524396110599698
AUS,1963,m,0.02171,67.9,0.1715578399701897
AUS,1964,b,0.01867,70.57,0.14021703506027794
AUS,1964,f,0.0166,73.97,0.09775606058268405
AUS,1964,m,0.02062,67.48,0.17919964842392166
AUS,1965,b,0.01854,70.8,0.13775407129968853
AUS,1965,f,0.01626,74.24,0.09815164106418539
AUS,1965,m,0.0207,67.66,0.17441161334469446
AUS,1966,b,0.01818,70.68,0.1378753520360113
AUS,1966,f,0.01595,74.07,0.09971632641959638
AUS,1966,m,0.02029,67.57,0.17346310845685042
AUS,1967,b,0.01804,71.05,0.13818680042663423
AUS,1967,f,0.01563,74.56,0.0991717443758594
AUS,1967,m,0.02031,67.83,0.1748909351668384
AUS,1968,b,0.01804,70.68,0.13827873729381934
AUS,1968,f,0.01584,74.23,0.09664618913647427
AUS,1968,m,0.02013,67.46,0.17758628033833435
AUS,1969,b,0.01845,71.07,0.13647183455966838
AUS,1969,f,0.01587,74.69,0.09545615556590259
AUS,1969,m,0.0209,67.76,0.1754547761276154
AUS,1970,b,0.01855,70.65,0.13879194595976807
AUS,1970,f,0.01581,74.18,0.09870405894026935
AUS,1970,m,0.02116,67.43,0.17717854132459165
AUS,1971,b,0.01775,71.45,0.12984800346437642
AUS,1971,f,0.01572,74.9,0.0921083543716863
AUS,1971,m,0.0197,68.25,0.1663052678278325
AUS,1972,b,0.01658,71.77,0.12885629717980907
AUS,1972,f,0.01425,75.31,0.09136152425967936
AUS,1972,m,0.0188,68.48,0.16511289171752186
AUS,1973,b,0.01572,72.06,0.12664595335981943
AUS,1973,f,0.01358,75.71,0.0888806091483475
AUS,1973,m,0.01776,68.68,0.16308080851737583
AUS,1974,b,0.01577,71.85,0.13001764384047776
AUS,1974,f,0.01321,75.5,0.09167414592737044
AUS,1974,m,0.01818,68.47,0.16703097502277453
AUS,1975,b,0.01384,72.78,0.12259790451116048
AUS,1975,f,0.01204,76.41,0.08467389422108806
AUS,1975,m,0.01555,69.37,0.15919184078160176
AUS,1976,b,0.01356,72.79,0.12020114137164495
AUS,1976,f,0.01208,76.41,0.0830938167944224
